Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
10,0.000555722,0.000497487,0.000468135,0.000429232,0.000432598,0.000413213,0.000442021,0.000407278,0.000402222,0.000402424,0.000339023,0.000364719,0.00043218,0.000346688,0.000390026,0.000347941,0.000448782,0.000333125,0.000356361,0.000382744,0.00037685,0.000314675,0.000268537,0.000299253,0.00032108,0.000287063,0.000252778,0.000319717,0.000252315,0.000230315,0.000242517,0.000230265,0.000209653,0.00025388,0.000235687,0.000194881,0.000162547,0.000213284,0.000207536,0.000189452,0.00018176,0.000170815,0.000171356,0.000126976,0.000196067,0.000124643,0.000169347,0.000143367,0.000131379,0.000137867,0.000153352,0.00010012,9.22E-05,0.000118871,0.000115286,0.000120445,7.05E-05,0.000117045,7.80E-05,8.80E-05,8.75E-05,9.45E-05,7.89E-05,0.00010928
11,0.000567147,0.000490812,0.000499987,0.000416362,0.000464642,0.000395693,0.000431516,0.000410834,0.000400002,0.00039841,0.000376068,0.000400324,0.000336969,0.000363795,0.000362132,0.00039216,0.000336986,0.000382237,0.00032572,0.000335379,0.000331227,0.000350958,0.000354716,0.000314316,0.000302997,0.000264048,0.000259474,0.000296852,0.00028286,0.000272987,0.000261769,0.000266101,0.000268704,0.00025264,0.000299151,0.000212661,0.000203309,0.0002286,0.000209945,0.000209965,0.000178452,0.000173769,0.000197961,0.000179398,0.000148276,0.000169444,0.000158237,0.000171645,0.000143067,0.000118638,0.000137605,0.000160406,0.000124813,9.70E-05,0.000138745,0.000138412,0.000119744,9.09E-05,0.00010312,9.63E-05,8.21E-05,0.00011514,6.56E-05,0.000100876
12,0.000554084,0.000503045,0.000464453,0.000441009,0.000459398,0.000417679,0.000475587,0.000396435,0.000384482,0.000393213,0.00040025,0.000385584,0.000379632,0.000403667,0.000415597,0.000410483,0.000380563,0.000383099,0.000357015,0.000353593,0.000316065,0.000322179,0.00031575,0.000311604,0.000347254,0.000311002,0.000253414,0.000260958,0.000248878,0.000252023,0.000268596,0.000251511,0.000276121,0.000271315,0.000244781,0.000201833,0.000229334,0.000220638,0.000225356,0.000186062,0.000182057,0.000223911,0.000205935,0.000241397,0.000198359,0.000193672,0.000195195,0.000160655,0.000179019,0.000160532,0.000191579,0.000117572,0.000155149,0.000152248,0.000168031,0.000117839,0.000135166,9.85E-05,0.000100732,0.000110434,0.000106443,0.000111759,0.000109064,0.000104999
13,0.000601109,0.000544006,0.000480531,0.000461534,0.000484449,0.000443369,0.000486391,0.000420863,0.000448873,0.000430307,0.000396989,0.000479493,0.000406153,0.000420966,0.000475754,0.00043787,0.000448792,0.000366705,0.000441033,0.000358642,0.000419424,0.000367061,0.000344286,0.000374291,0.000375559,0.000344753,0.000326814,0.000289188,0.000291492,0.000270705,0.000320765,0.000293633,0.000288387,0.000254177,0.000304437,0.000246945,0.000338781,0.000332657,0.000220458,0.000269963,0.000277065,0.000218031,0.000240002,0.000211222,0.000219674,0.000219985,0.000198738,0.000207666,0.00016818,0.000160897,0.000202946,0.000209698,0.000187468,0.000140404,0.000177033,0.000193284,0.000163167,0.000116537,0.000136437,9.76E-05,8.63E-05,0.000100684,0.00013574,0.000108467
14,0.000658567,0.00060115,0.000575796,0.000546059,0.000577716,0.000502118,0.00055236,0.000497427,0.000527157,0.000512247,0.000449186,0.000498891,0.000459683,0.000492082,0.000449683,0.00050434,0.00051833,0.000527001,0.000459898,0.000390306,0.000479761,0.000449872,0.000457097,0.000359787,0.000419792,0.000392093,0.000356671,0.000346577,0.000405366,0.000382984,0.000354032,0.000369277,0.000358114,0.000361292,0.000370346,0.000304136,0.000347561,0.000314505,0.000282233,0.000306778,0.000326324,0.000253694,0.00027611,0.000298539,0.000256548,0.000279113,0.000244367,0.000254682,0.00023052,0.000196512,0.000242112,0.000231616,0.000212429,0.000200228,0.000189461,0.0001945,0.000205375,0.000142177,0.000144169,0.000127861,0.000127635,0.000130165,0.000129267,0.000132236
15,0.00072285,0.000707345,0.000671115,0.000619709,0.000655585,0.000614939,0.000634037,0.000584668,0.000584797,0.000597179,0.000539897,0.000559359,0.000524428,0.000537765,0.000575751,0.000574853,0.000569405,0.000577218,0.00049793,0.000530145,0.000518964,0.000501977,0.000532424,0.000484749,0.00041142,0.000371745,0.000447308,0.000431158,0.000428379,0.000390159,0.000424003,0.000436525,0.000451773,0.00043297,0.000390743,0.000434217,0.000398978,0.000374948,0.00041863,0.000426061,0.000464393,0.000344547,0.000365921,0.00033413,0.000319793,0.000349836,0.000303128,0.000292862,0.000264944,0.000253972,0.000259761,0.000289184,0.000249455,0.000290836,0.000234724,0.000251985,0.000280287,0.000211721,0.000256624,0.000173473,0.000172262,0.000132199,0.000163313,0.000146827
16,0.000819754,0.000788211,0.000773315,0.000743116,0.000755623,0.000678865,0.000793654,0.000732392,0.000786113,0.000750838,0.000782791,0.000748028,0.000758493,0.000870735,0.000865235,0.001052687,0.000868297,0.000867861,0.000821019,0.000864442,0.000880955,0.000710596,0.000654417,0.000614203,0.000644678,0.000694582,0.000575506,0.00066453,0.000578869,0.000531362,0.000531533,0.000552997,0.000594586,0.000535782,0.000526817,0.000530241,0.000518185,0.000523957,0.000544318,0.000600172,0.00056985,0.000433847,0.00041711,0.000443227,0.00037316,0.000413184,0.000496369,0.000487039,0.000433334,0.000428063,0.000346867,0.000398655,0.000387107,0.0003303,0.00035077,0.000354701,0.000344916,0.000365053,0.00028721,0.000228979,0.000237337,0.000204328,0.000222798,0.000218934
17,0.000883103,0.000868599,0.000795067,0.000780504,0.000851159,0.000835695,0.000923142,0.000887753,0.000938134,0.000896465,0.001056762,0.001004235,0.000925302,0.001056486,0.00114447,0.00113195,0.001036647,0.001023346,0.001061283,0.001020877,0.001008712,0.001033746,0.001039382,0.001082882,0.001100603,0.001175172,0.001101918,0.001119356,0.001032259,0.001093507,0.001046187,0.000976927,0.000827748,0.000794041,0.000800707,0.000814571,0.000798105,0.00085066,0.000847243,0.000876044,0.000745717,0.000679764,0.000670432,0.000686327,0.0007087,0.000684318,0.00063578,0.000572579,0.000622924,0.000581994,0.000599704,0.000582307,0.000528587,0.000529035,0.000604766,0.000580991,0.000493997,0.000526226,0.000497781,0.000387947,0.000351426,0.000339042,0.000291112,0.00029368
18,0.001039065,0.001045383,0.000958548,0.0009438,0.000974129,0.000959918,0.001081186,0.000997689,0.001090286,0.001046289,0.001068798,0.00115304,0.001121386,0.00117294,0.001155665,0.001195003,0.001131393,0.001015711,0.001158207,0.001046441,0.001017282,0.001095534,0.001235583,0.001201941,0.001192426,0.001184893,0.001059476,0.001230014,0.00119469,0.001163758,0.001068871,0.001056678,0.000942501,0.000870561,0.000878896,0.000977663,0.000911919,0.000885311,0.000920881,0.000918062,0.000956308,0.000814293,0.000823539,0.000739536,0.000905518,0.000840196,0.000856764,0.000873633,0.000721182,0.000804879,0.000854027,0.000803728,0.000743667,0.000684123,0.000681513,0.000617783,0.000633688,0.000591792,0.000565988,0.000538699,0.000405856,0.000509839,0.000396682,0.000421693
19,0.001258415,0.001181744,0.001127433,0.001056873,0.001118196,0.00107521,0.001164347,0.001095762,0.001186649,0.001150936,0.001109835,0.001141565,0.001176322,0.001239929,0.001137302,0.001231191,0.001131248,0.000979355,0.001043328,0.000999541,0.001148326,0.001132972,0.001075701,0.001292972,0.001138256,0.001197628,0.001127051,0.001147247,0.001174337,0.001075831,0.001082604,0.000998833,0.000951959,0.000952303,0.000861888,0.000910344,0.000978438,0.000866873,0.000921776,0.000851254,0.000918722,0.000838148,0.000823776,0.000798455,0.000900501,0.000849743,0.00089768,0.000921788,0.000922345,0.000841331,0.000916978,0.000729142,0.000689921,0.00064245,0.000714548,0.000710401,0.000654887,0.000640661,0.000638767,0.000465789,0.000492152,0.000459112,0.000509522,0.000459005
