Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
10,0.000375892,0.000346281,0.000349584,0.00030174,0.000314166,0.000278721,0.000302546,0.000252314,0.000288177,0.000275912,0.000229289,0.000233338,0.000222685,0.000229645,0.000243026,0.00023369,0.000286018,0.000234687,0.0001509,0.000240463,0.000256921,0.000214447,0.000216869,0.000231489,0.000148983,0.000210638,0.000193267,0.000186041,0.000174403,0.000222507,0.000190046,0.00021286,0.000165683,0.000150526,0.000163044,0.0001482,0.000138666,0.000118104,0.000119954,0.000111895,0.000140781,0.00011033,0.000149272,0.00010961,0.000125022,9.30554E-05,0.000140444,8.37723E-05,0.00014075,0.000110073,7.34936E-05,0.000121428,0.00011528,8.28866E-05,8.41649E-05,7.15378E-05,0.000123271,7.20894E-05,7.63196E-05,7.14928E-05,3.9845E-05,7.77353E-05,9.62456E-05,6.74035E-05
11,0.000375146,0.000345456,0.000351267,0.000306211,0.000317012,0.000279153,0.000308684,0.000248906,0.000291922,0.000272527,0.000232116,0.000210309,0.000182431,0.00022568,0.000319428,0.000285311,0.000287908,0.000201726,0.000220842,0.00022479,0.000181852,0.000190257,0.000229533,0.000270303,0.000171627,0.000208312,0.000187514,0.000170556,0.000188175,0.000203407,0.000173628,0.00016869,0.000172731,0.000153278,0.00017282,0.000165727,0.000140765,0.00013111,0.000114237,0.000189475,0.000143475,9.58345E-05,9.72336E-05,0.000100483,0.000138384,7.80016E-05,8.98846E-05,0.00012197,0.000137298,0.000119885,0.000121941,6.73244E-05,0.000106188,7.27325E-05,8.87019E-05,9.30003E-05,9.58244E-05,8.59235E-05,9.99451E-05,6.63612E-05,8.74038E-05,5.28473E-05,7.73327E-05,4.28971E-05
12,0.000391918,0.000360756,0.000369486,0.000325265,0.000334857,0.000291726,0.000328523,0.00025614,0.000308523,0.000280809,0.000231204,0.000276254,0.000243647,0.000242033,0.000256859,0.000245846,0.00026078,0.000278434,0.000184051,0.000278545,0.000212262,0.000189803,0.000187071,0.000190753,0.000193563,0.000176557,0.000170904,0.000227247,0.000196466,0.000177605,0.000163863,0.000171217,0.000196245,0.0001813,0.000204897,0.000175578,0.000151911,0.000144031,0.000170852,0.000163913,0.000135976,0.000127446,0.000130838,0.000132753,0.000129546,8.99554E-05,0.000118473,0.000164154,0.000133852,9.26145E-05,0.000107912,0.000109895,0.000154584,0.00012972,0.000123927,9.43086E-05,0.000126336,7.6968E-05,9.78306E-05,9.00565E-05,9.44137E-05,9.66145E-05,6.24351E-05,5.01191E-05
13,0.000432557,0.000386983,0.000385355,0.000347409,0.000346932,0.000304269,0.000349611,0.000273258,0.00031925,0.000294871,0.000261131,0.000256304,0.000272475,0.000286642,0.000282535,0.000222965,0.000274705,0.000327034,0.000269303,0.000225878,0.000259215,0.000172496,0.000181153,0.00020535,0.000175062,0.000244369,0.000218501,0.00022966,0.000193643,0.000170811,0.000196067,0.000185214,0.000187747,0.000196331,0.000195233,0.000186063,0.000178431,0.000165093,0.000164833,0.000137781,0.000120816,0.000119224,0.000184597,0.00015295,0.000151937,0.000135772,0.000144379,0.000136963,0.000111192,0.000112547,8.95725E-05,0.000125795,9.78403E-05,0.000119647,0.000132366,0.000126378,0.000108826,0.000110463,0.00010737,7.90195E-05,7.73164E-05,8.77024E-05,8.01423E-05,0.000101263
14,0.000493829,0.000429885,0.000416026,0.000384276,0.000371944,0.000323618,0.000379372,0.000297237,0.000336809,0.000315773,0.000265256,0.000257981,0.000247129,0.000254631,0.000323124,0.000261054,0.000254925,0.000280247,0.000241471,0.000202851,0.000274753,0.000238274,0.00023135,0.000249489,0.000213135,0.000213509,0.000221068,0.000247678,0.000232201,0.000198168,0.000247318,0.000219644,0.000203759,0.000193278,0.000196071,0.000188966,0.00020703,0.000191076,0.000215314,0.000188761,0.00020969,0.000209299,0.000211717,0.00017483,0.00017818,0.000206639,0.000155108,0.000134598,0.000142908,0.000142253,0.000118598,0.000181982,0.000146358,0.00010993,0.000136861,0.000123027,0.000131674,8.42347E-05,0.000128346,0.000149473,9.37611E-05,9.54607E-05,0.000115384,0.000124326
15,0.000525709,0.000445772,0.000419067,0.000396791,0.000371924,0.000333062,0.000398319,0.000312817,0.000343766,0.000327236,0.000311422,0.000294074,0.000251982,0.000302984,0.000282729,0.000388066,0.000350158,0.000322029,0.000278168,0.000250125,0.000295598,0.000309476,0.000329235,0.00032869,0.000273635,0.000272929,0.00023092,0.000248322,0.000200376,0.000199451,0.000285202,0.000247185,0.00021943,0.000274968,0.000225502,0.000228245,0.000205816,0.000279643,0.000193883,0.000221303,0.000223003,0.000205635,0.000226581,0.000171669,0.000215583,0.000228635,0.000267455,0.000167879,0.000191992,0.000137086,0.00018198,0.000130733,0.000145417,0.000175723,0.000127183,0.000162379,0.000125086,0.000145498,0.000143135,0.000154792,9.37983E-05,0.000117518,0.000110443,0.000136445
16,0.00062677,0.000518204,0.000473008,0.00045933,0.000416561,0.000379373,0.000462827,0.000364312,0.00038824,0.000375343,0.00036324,0.00030344,0.000346113,0.000439031,0.000412996,0.000327864,0.000372222,0.000389005,0.000358514,0.000295959,0.000393919,0.000388628,0.000403001,0.000342289,0.000389498,0.00035445,0.000358293,0.000350143,0.000287076,0.000369617,0.000277307,0.000319573,0.000279566,0.000273625,0.000247819,0.00026281,0.000238756,0.000242491,0.000287896,0.000299488,0.000236987,0.00023654,0.000288125,0.000208472,0.000237108,0.000253278,0.00023767,0.000318597,0.000212799,0.000208312,0.000250875,0.000243651,0.000193101,0.000233042,0.000212928,0.000182864,0.00018699,0.000135389,0.000179271,0.00016859,0.000120159,0.000111606,0.000126144,0.000179903
17,0.000709263,0.000572311,0.000506968,0.000505182,0.000442836,0.000411934,0.000512625,0.000404414,0.000417891,0.000410435,0.000387356,0.00035838,0.000384076,0.000341843,0.000399813,0.000421172,0.00044069,0.000370639,0.000458438,0.000361898,0.00042744,0.000457982,0.000408389,0.000392601,0.000369348,0.000298671,0.000437167,0.000416146,0.000346503,0.000348212,0.000326561,0.000270705,0.000369115,0.000346838,0.000349926,0.000286063,0.000299596,0.000324577,0.000303763,0.000298598,0.000364545,0.000316708,0.0002884,0.000266057,0.000267932,0.000276372,0.000290906,0.000291389,0.000311883,0.000223533,0.000264344,0.000259841,0.000232298,0.000215471,0.000233581,0.000247521,0.000242858,0.000201888,0.000170647,0.000227246,0.000166408,0.000164517,0.000120175,0.000152066
18,0.000797991,0.000649608,0.000576515,0.000566828,0.000496396,0.000465982,0.000557085,0.000460881,0.000469814,0.000448057,0.000404687,0.000436798,0.000419238,0.000426664,0.000386026,0.000373689,0.000465399,0.000384878,0.000393198,0.00040079,0.000371655,0.000407649,0.000434149,0.000400884,0.00040814,0.000444093,0.000319571,0.000440087,0.000412594,0.000425455,0.000418295,0.000280717,0.000338948,0.000267033,0.000279705,0.000356136,0.000350471,0.000336814,0.00037511,0.000280541,0.000281994,0.000331947,0.000272829,0.000256358,0.000293737,0.00031691,0.000299477,0.00030752,0.00028569,0.000384568,0.000278447,0.000272425,0.000253407,0.000262319,0.000264253,0.000263864,0.000246831,0.000258802,0.000223045,0.00021345,0.000177241,0.000153469,0.000181211,0.000208101
19,0.000836746,0.000687168,0.000610973,0.000592722,0.000518567,0.000498331,0.000572135,0.000496406,0.000499418,0.000462346,0.000479173,0.000393796,0.000386749,0.000507624,0.000519974,0.00049628,0.000414959,0.000393711,0.000434939,0.000434818,0.000443734,0.000437063,0.000468359,0.000395472,0.000374518,0.000367816,0.000320153,0.000367234,0.00035386,0.000332676,0.000306621,0.000337305,0.000351602,0.000292509,0.000297453,0.000335786,0.000308205,0.000312898,0.000349011,0.000309787,0.000335066,0.000321781,0.000310009,0.000299126,0.0003139,0.00034923,0.000301982,0.000299719,0.000270397,0.000339435,0.000247476,0.000316614,0.000304565,0.000337871,0.000275436,0.0002552,0.000229534,0.000265998,0.000221508,0.000219275,0.00019705,0.000189054,0.000171744,0.000201616
