Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
10,0.000379976,0.000349351,0.000360919,0.000296922,0.000311925,0.000287344,0.00031436,0.000251183,0.000284559,0.000267163,0.000239397,0.000222434,0.000223385,0.000226447,0.000243333,0.000244808,0.000265662,0.00023871,0.000161388,0.00025018,0.000274747,0.000208058,0.000227596,0.000226445,0.000146361,0.000209552,0.000198965,0.000204667,0.000178493,0.000210014,0.000191673,0.000210398,0.000157651,0.000162346,0.000162437,0.000141005,0.000133423,0.00012784,0.000136875,0.000125779,0.000139691,0.000107771,0.000144934,0.000113051,0.000137092,8.97773E-05,0.00013688,7.91405E-05,0.000132357,0.000113181,7.0203E-05,0.000120409,0.000112692,8.15299E-05,8.56457E-05,8.00547E-05,0.00011485,7.78637E-05,7.62216E-05,7.51316E-05,4.42746E-05,7.21634E-05,8.57996E-05,6.59124E-05
11,0.000394726,0.000332919,0.000351205,0.00028798,0.00033152,0.000277824,0.00029836,0.000247892,0.000291234,0.00026345,0.000240969,0.000223336,0.000186962,0.000231577,0.000327824,0.000287831,0.000272525,0.000188407,0.000231948,0.000217619,0.000185436,0.0001783,0.000227881,0.00025176,0.000166014,0.000202109,0.000189464,0.000188138,0.000191126,0.000213674,0.00017228,0.000158911,0.00016299,0.00014154,0.000167556,0.000153049,0.000143748,0.000130038,0.000127516,0.000177231,0.000144982,9.20687E-05,0.00011331,9.93499E-05,0.000141078,7.93778E-05,9.51568E-05,0.000128701,0.000129008,0.00011126,0.000121016,6.47329E-05,0.000109534,7.50346E-05,9.20508E-05,9.89292E-05,9.32756E-05,9.25676E-05,9.42009E-05,6.73535E-05,8.63689E-05,6.46235E-05,8.07981E-05,5.00186E-05
12,0.000403636,0.000365509,0.000368901,0.00033624,0.000350412,0.000287974,0.000346783,0.000248563,0.00030752,0.000279047,0.000251266,0.000289587,0.000262909,0.000268391,0.000258644,0.000248842,0.000266944,0.000283313,0.000199186,0.000279112,0.000211994,0.000182897,0.000182436,0.000194243,0.000205175,0.000200438,0.00016752,0.000228491,0.000210348,0.000185968,0.000158642,0.000182054,0.000192462,0.000183075,0.000210588,0.000175694,0.000167538,0.000140517,0.000170967,0.000164536,0.000139166,0.000133749,0.000136569,0.000127364,0.000130472,9.57845E-05,0.000112131,0.000154885,0.000133811,9.48609E-05,0.000108635,0.000110359,0.000152294,0.000127708,0.000128289,9.69541E-05,0.000120194,7.65022E-05,0.000103064,9.36962E-05,8.66529E-05,8.59632E-05,6.43167E-05,4.76006E-05
13,0.000461813,0.000388633,0.000399007,0.000374989,0.000339175,0.000312491,0.000347812,0.000289008,0.000315873,0.000293259,0.000269912,0.00025114,0.000273879,0.000295011,0.00027925,0.000235161,0.000273776,0.000315732,0.000264953,0.000219632,0.000257583,0.000170499,0.000184962,0.00020505,0.000169532,0.000231583,0.000206692,0.000216408,0.000203885,0.000192925,0.000204294,0.000193357,0.000187027,0.000192608,0.000195288,0.000191567,0.000181067,0.000158501,0.000170798,0.000154754,0.000120764,0.000136109,0.000178155,0.000139196,0.00015546,0.000133105,0.00014633,0.00013653,0.000119274,0.000117748,0.000105346,0.000129736,9.44386E-05,0.000123922,0.000124875,0.00012776,0.00011244,0.000106084,0.000108887,8.09202E-05,8.23477E-05,8.07134E-05,8.27416E-05,0.000116281
14,0.000489958,0.000438107,0.000415049,0.000387086,0.000374203,0.000323838,0.000385218,0.000300792,0.000329637,0.000323458,0.000263877,0.000267553,0.000238678,0.000266528,0.000326909,0.000266471,0.000273605,0.000286767,0.000239777,0.000205567,0.000269416,0.000244727,0.00022612,0.000253448,0.000207286,0.000216219,0.000220233,0.000251388,0.000239344,0.000198694,0.000246282,0.000222562,0.000207231,0.000187148,0.000199582,0.000187415,0.000207276,0.000195003,0.000205193,0.000197657,0.000236262,0.000191714,0.000208301,0.000186305,0.000180745,0.000208955,0.000161395,0.000134924,0.000139003,0.000135686,0.000123056,0.00017633,0.000153192,0.000120901,0.000141793,0.000132177,0.000132369,8.52635E-05,0.000132731,0.000148921,9.12786E-05,8.7489E-05,0.000113647,0.000116365
15,0.000546294,0.000493965,0.000420581,0.000389699,0.000401418,0.000319241,0.000396552,0.000304461,0.000342514,0.000318318,0.000302004,0.000280836,0.00027176,0.000304796,0.000286116,0.000409956,0.000340854,0.000315487,0.000269138,0.000268897,0.000280342,0.000302278,0.000333221,0.000327198,0.000272072,0.000265924,0.000258039,0.000257108,0.000197048,0.000211735,0.00028587,0.00024624,0.000217896,0.000278446,0.000229457,0.000218263,0.000224709,0.000265476,0.000200277,0.00021044,0.000218337,0.000191807,0.000219151,0.000170394,0.000219192,0.000222105,0.000265034,0.000172591,0.000213346,0.000144781,0.000186777,0.000144459,0.000162423,0.000176502,0.000130935,0.000182382,0.000131308,0.000155038,0.000147975,0.000156106,9.13601E-05,0.000120387,0.000130774,0.000132341
16,0.000641265,0.000551332,0.000502743,0.00047926,0.000421577,0.000380185,0.000447402,0.000360481,0.000380002,0.000381278,0.000360772,0.00030859,0.000333013,0.000440103,0.000410757,0.000333274,0.000375445,0.000385632,0.000349905,0.000308498,0.000398731,0.000392652,0.000408977,0.000354618,0.000394683,0.000354,0.000374191,0.000359453,0.000282502,0.000357579,0.000267122,0.000309402,0.000296666,0.000269586,0.000264051,0.000264386,0.000241766,0.000254395,0.000272769,0.000289711,0.000244553,0.000242321,0.000301424,0.00020645,0.000247873,0.000266104,0.000235658,0.0003127,0.000228965,0.000205212,0.000252715,0.000246388,0.000202012,0.000239745,0.000235577,0.000182822,0.000188677,0.000145452,0.00019766,0.000180956,0.000133283,0.000109834,0.000133332,0.000186919
17,0.000739422,0.000593153,0.000522602,0.000507088,0.000439694,0.000414865,0.00050574,0.000412371,0.000428095,0.000405224,0.00039831,0.000370505,0.000366343,0.000336408,0.000423067,0.000458135,0.000424605,0.00034291,0.000440706,0.000366487,0.000420304,0.000465788,0.000410331,0.000390225,0.000393435,0.00031163,0.000442589,0.000429216,0.000325242,0.000339921,0.000323074,0.000295561,0.000355056,0.000346568,0.000338436,0.000281449,0.000306013,0.000312299,0.000298183,0.000290232,0.000363591,0.000314228,0.000302679,0.000266502,0.00026158,0.000299687,0.000307561,0.000321748,0.000307051,0.000235699,0.000265703,0.000282467,0.000263413,0.000229647,0.000247842,0.00024774,0.000253729,0.000231933,0.000193544,0.000234695,0.000173487,0.000172491,0.000141342,0.000164134
18,0.000841696,0.000658909,0.000595651,0.000557597,0.000508277,0.000449613,0.00056842,0.000462443,0.000462578,0.000447005,0.000408749,0.00042888,0.000392647,0.000420199,0.000382189,0.000416923,0.000473269,0.000381694,0.000378866,0.000391236,0.000380635,0.000409345,0.000448603,0.000404449,0.000437443,0.000446241,0.000332499,0.000436219,0.000398655,0.000434463,0.000410649,0.000298162,0.000342496,0.000268159,0.000292667,0.000362141,0.000342357,0.000334109,0.000373361,0.000290481,0.000283913,0.000329667,0.000275918,0.000256632,0.000306735,0.00031403,0.000294561,0.000322988,0.000303549,0.000385434,0.000295544,0.000264546,0.000263328,0.000278779,0.000274829,0.000258732,0.000264516,0.000287439,0.000229409,0.00022072,0.000189621,0.000156453,0.000189367,0.000202933
19,0.000866824,0.000709227,0.000628021,0.00058486,0.000511634,0.000499079,0.000565115,0.000497125,0.000514311,0.000470579,0.000463088,0.00040826,0.000394115,0.000500055,0.0005265,0.000494468,0.000426692,0.000396354,0.00044098,0.000420769,0.000431466,0.000456628,0.000483668,0.000402047,0.000369259,0.000372321,0.000351302,0.000390732,0.000364301,0.000341473,0.000311771,0.000338053,0.000343438,0.000304268,0.000282199,0.000322253,0.000318348,0.00031,0.000342803,0.000311527,0.000355751,0.000318546,0.000321096,0.000295625,0.000324089,0.000326668,0.000294435,0.000305823,0.000309037,0.000344597,0.000242533,0.000314293,0.000292692,0.000339404,0.000278641,0.000255489,0.000242525,0.000272326,0.000245716,0.000254186,0.000217427,0.000197012,0.000184988,0.000212089
